PT_NAME_FR,SOC_NAME_FR,id_effet_secondaire
Metastase,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",95
Agranulocytose,Affections hematologiques et du systeme lymphatique,96
Globules blancs diminues,Investigations,97
Neutropenie,Affections hematologiques et du systeme lymphatique,98
Cancer du testicule,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",99
Metastases ganglionnaires,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",100
Rhabdomyolyse,Affections musculosquelettiques et du tissu conjonctif,101
Coma diabetique hyperosmolaire,Affections du systeme nerveux,102
Diabete sucre de type 1,Troubles du metabolisme et de la nutrition,103
Sepsis streptococcique,Infections et infestations,104
Gonflement pharynge,"Affections respiratoires, thoraciques et mediastinales",105
Somnolence,Affections du systeme nerveux,106
Reaction anaphylactique,Affections du systeme immunitaire,107
Gonflement oculaire,Affections oculaires,108
Choc,Affections vasculaires,109
Sensation de gorge serree,"Affections respiratoires, thoraciques et mediastinales",110
Dyspnee,"Affections respiratoires, thoraciques et mediastinales",111
Syndrome de detresse respiratoire neonatale,"Affections respiratoires, thoraciques et mediastinales",112
Intubation endotracheale,Actes medicaux et chirurgicaux,113
Administration d'une dose incorrecte,"Lesions, intoxications et complications d'interventions",114
Concentration medicamenteuse augmentee,Investigations,115
Faiblesse musculaire,Affections musculosquelettiques et du tissu conjonctif,116
Myoglobinurie,Affections du rein et des voies urinaires,117
Asthenie,Troubles generaux et anomalies au site d'administration,118
Tremblement du nouveau ne,Affections du systeme nerveux,119
Hypoplasie ventriculaire,"Affections congenitales, familiales et genetiques",120
Scoliose congenitale,"Affections congenitales, familiales et genetiques",121
Trouble pulmonaire,"Affections respiratoires, thoraciques et mediastinales",122
Neuroblastome du systeme nerveux central,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",123
Asthme,"Affections respiratoires, thoraciques et mediastinales",124
Pleurs,Troubles generaux et anomalies au site d'administration,125
Trouble selectif de l'alimentation,Affections psychiatriques,126
Thrombose pulmonaire,"Affections respiratoires, thoraciques et mediastinales",127
Malaise,Troubles generaux et anomalies au site d'administration,128
Collapsus circulatoire,Affections vasculaires,129
Syndrome des jambes sans repos,Affections du systeme nerveux,130
Ba¢illement,"Affections respiratoires, thoraciques et mediastinales",131
Pa¢leur,Affections vasculaires,132
Cecite,Affections oculaires,133
Probleme d'utilisation du produit,"Lesions, intoxications et complications d'interventions",134
Hypoglycemie,Troubles du metabolisme et de la nutrition,135
Syndrome de Stevens-Johnson,Affections de la peau et du tissu sous-cutane,136
Migraine,Affections du systeme nerveux,137
Cervicalgie,Affections musculosquelettiques et du tissu conjonctif,138
Hypoesthesie,Affections du systeme nerveux,139
Arthropathie,Affections musculosquelettiques et du tissu conjonctif,140
Arthralgie,Affections musculosquelettiques et du tissu conjonctif,141
Douleur faciale,Troubles generaux et anomalies au site d'administration,142
Petit mal epileptique,Affections du systeme nerveux,143
Douleur abdominale haute,Affections gastro-intestinales,144
Tic,Affections psychiatriques,145
Troubles de la demarche,Troubles generaux et anomalies au site d'administration,146
Poids diminue,Investigations,147
Perturbation des mouvements,Affections du systeme nerveux,148
Distension abdominale,Affections gastro-intestinales,149
Infection des voies aeriennes inferieures,Infections et infestations,150
Douleur thoracique,Troubles generaux et anomalies au site d'administration,151
Sclerose en plaques,Affections du systeme nerveux,152
Diarrhee,Affections gastro-intestinales,153
Trouble de la mastication,Affections musculosquelettiques et du tissu conjonctif,154
Trouble de la parole,Affections du systeme nerveux,155
Sensation vertigineuse,Affections du systeme nerveux,156
Insomnie,Affections psychiatriques,157
Grippe,Infections et infestations,158
Trouble gastro-intestinal,Affections gastro-intestinales,159
Gonadotropine chorionique humaine augmentee,Investigations,160
Cephalee,Affections du systeme nerveux,161
Contractions fasciculaires,Affections musculosquelettiques et du tissu conjonctif,162
Nevralgie,Affections du systeme nerveux,163
Reaction au site d'injection,Troubles generaux et anomalies au site d'administration,164
Spondylolisthesis,Affections musculosquelettiques et du tissu conjonctif,165
Extremites douloureuses,Affections musculosquelettiques et du tissu conjonctif,166
Douleur de la ma¢choire,Affections musculosquelettiques et du tissu conjonctif,167
Atteintes de la ma¢choire,Affections musculosquelettiques et du tissu conjonctif,168
Photophobie,Affections oculaires,169
Douleur,Troubles generaux et anomalies au site d'administration,170
Dorsalgie,Affections musculosquelettiques et du tissu conjonctif,171
Splenomegalie,Affections hematologiques et du systeme lymphatique,172
Trouble uterin,Affections des organes de reproduction et du sein,173
Faim,Troubles generaux et anomalies au site d'administration,174
Trouble affectif,Affections psychiatriques,175
Oedeme localise,Troubles generaux et anomalies au site d'administration,176
Anxiete,Affections psychiatriques,177
Hyperhidrose,Affections de la peau et du tissu sous-cutane,178
Frequence cardiaque augmentee,Investigations,179
Pression arterielle diminuee,Investigations,180
Leiomyome uterin,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",181
Glucose sanguin augmente,Investigations,182
Saignement menstruel abondant,Affections des organes de reproduction et du sein,183
Trouble de l'appetit,Troubles du metabolisme et de la nutrition,184
Labilite affective,Affections psychiatriques,185
Kyste renal,Affections du rein et des voies urinaires,186
Nephrolithiase,Affections du rein et des voies urinaires,187
Hypertrophie uterine,Affections des organes de reproduction et du sein,188
Leucemie lymphocytaire,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",189
Anomalie des leucocytes,Affections hematologiques et du systeme lymphatique,190
Syndrome serotoninergique,Affections du systeme nerveux,191
Laryngomalacie,"Affections congenitales, familiales et genetiques",192
Retard staturo-ponderal,Troubles du metabolisme et de la nutrition,193
atat confusionnel,Affections psychiatriques,194
Pollakiurie,Affections du rein et des voies urinaires,195
Bouche seche,Affections gastro-intestinales,196
Fievre,Troubles generaux et anomalies au site d'administration,197
apanchement pericardique,Affections cardiaques,198
Stress,Affections psychiatriques,199
Douleur au site d'injection,Troubles generaux et anomalies au site d'administration,200
Gonflement au site d'injection,Troubles generaux et anomalies au site d'administration,201
Mort,Troubles generaux et anomalies au site d'administration,202
Pneumonie,Infections et infestations,203
Frequence cardiaque diminuee,Investigations,204
Lesion au site dâinjection,Troubles generaux et anomalies au site d'administration,205
Hematome au site d'injection,Troubles generaux et anomalies au site d'administration,206
Frissons,Troubles generaux et anomalies au site d'administration,207
Masse du sein,Affections des organes de reproduction et du sein,208
Douleur mammaire,Affections des organes de reproduction et du sein,209
Periarthrite,Affections musculosquelettiques et du tissu conjonctif,210
Alopecie,Affections de la peau et du tissu sous-cutane,211
Gaªne musculosquelettique,Affections musculosquelettiques et du tissu conjonctif,212
Hyperglycemie,Troubles du metabolisme et de la nutrition,213
Pression arterielle augmentee,Investigations,214
Trouble osseux,Affections musculosquelettiques et du tissu conjonctif,215
Cardiomegalie,Affections cardiaques,216
Sentiment de culpabilite,Affections psychiatriques,217
Sensation d'etat anormal,Troubles generaux et anomalies au site d'administration,218
Estime de soi diminuee,Affections psychiatriques,219
Pathologie du jeu,Affections psychiatriques,220
Depression,Affections psychiatriques,221
Sepsis bacterien,Infections et infestations,222
Infection des voies urinaires,Infections et infestations,223
Hemorragie buccale,Affections gastro-intestinales,224
apistaxis,"Affections respiratoires, thoraciques et mediastinales",225
Utilisation du produit dans une indication non approuvee,"Lesions, intoxications et complications d'interventions",226
Myopathie,Affections musculosquelettiques et du tissu conjonctif,227
Trouble de l'oeil,Affections oculaires,228
Hypoesthesie buccale,Affections gastro-intestinales,229
Chute,"Lesions, intoxications et complications d'interventions",230
Lesion de la taªte,"Lesions, intoxications et complications d'interventions",231
Contusion,"Lesions, intoxications et complications d'interventions",232
Syndrome grippal,Troubles generaux et anomalies au site d'administration,233
Complication lors d'une intervention,"Lesions, intoxications et complications d'interventions",234
Poussee de sclerose en plaques,Affections du systeme nerveux,235
Mort subite cardiaque,Troubles generaux et anomalies au site d'administration,236
Convulsion neonatale,Affections du systeme nerveux,237
Torsade de pointes,Affections cardiaques,238
Hypocalcemie,Troubles du metabolisme et de la nutrition,239
Alteration de la couleur de la sclere,Affections oculaires,240
Pied bot,"Affections congenitales, familiales et genetiques",241
Restriction de croissance foetale,"Affections gravidiques, puerperales et perinatales",242
Retard du developpement,Troubles generaux et anomalies au site d'administration,243
Dysphagie,Affections gastro-intestinales,244
Cancer osseux metastatique,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",245
Phase terminale,Troubles generaux et anomalies au site d'administration,246
Cancer du sein,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",247
Stridor,"Affections respiratoires, thoraciques et mediastinales",248
Crainte sociale,Affections psychiatriques,249
Incontinence urinaire,Affections du rein et des voies urinaires,250
Hallucination visuelle,Affections psychiatriques,251
Catatonie,Affections psychiatriques,252
Trouble psychotique,Affections psychiatriques,253
Hallucination auditive,Affections psychiatriques,254
Agitation,Affections psychiatriques,255
Bouffee congestive,Affections vasculaires,256
Hypersensibilite,Affections du systeme immunitaire,257
Toux,"Affections respiratoires, thoraciques et mediastinales",258
Saturation en oxygene anormale,Investigations,259
Hemangiome congenital,"Affections congenitales, familiales et genetiques",260
Hemiparesie,Affections du systeme nerveux,261
Leucoencephalopathie multifocale progressive,Infections et infestations,262
Paresthesie,Affections du systeme nerveux,263
Retention urinaire,Affections du rein et des voies urinaires,264
Parkinsonisme,Affections du systeme nerveux,265
Frequence cardiaque irreguliere,Investigations,266
Trouble du sommeil,Affections psychiatriques,267
Trouble cognitif,Affections du systeme nerveux,268
Sensation de modification de la temperature corporelle,Troubles generaux et anomalies au site d'administration,269
Hyperacousie,Affections de l'oreille et du labyrinthe,270
Trouble de l'equilibre,Affections du systeme nerveux,271
Dyserection,Affections des organes de reproduction et du sein,272
Bruxisme,Affections psychiatriques,273
Vertige,Affections de l'oreille et du labyrinthe,274
Dysarthrie,Affections du systeme nerveux,275
Trouble de la langue,Affections gastro-intestinales,276
Raideur articulaire,Affections musculosquelettiques et du tissu conjonctif,277
Dystonie,Affections du systeme nerveux,278
Prurit,Affections de la peau et du tissu sous-cutane,279
Dyskinesie tardive,Affections du systeme nerveux,280
Dyspepsie,Affections gastro-intestinales,281
Hepatotoxicite,Affections hepatobiliaires,282
Detresse respiratoire,"Affections respiratoires, thoraciques et mediastinales",283
Probleme de substitution du produit,Problemes de produit,284
Concentration medicamenteuse inferieure aux concentrations therapeutiques,Investigations,285
Douleur oesophagienne,Affections gastro-intestinales,286
Reflux gastro-oesophagien,Affections gastro-intestinales,287
Accident cerebrovasculaire,Affections du systeme nerveux,288
Defecation imperieuse,Affections gastro-intestinales,289
Vitamine B12 diminuee,Investigations,290
Malabsorption,Affections gastro-intestinales,291
Selles frequentes,Affections gastro-intestinales,292
Hypercholesterolemie,Troubles du metabolisme et de la nutrition,293
Tumeur hepatique,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",294
Infection renale,Infections et infestations,295
Effet du produit therapeutique diminue,Troubles generaux et anomalies au site d'administration,296
Tumefaction au site d'injection,Troubles generaux et anomalies au site d'administration,297
Serotonine serique augmentee,Investigations,298
Gaªne au site d'injection,Troubles generaux et anomalies au site d'administration,299
Stenose veineuse,Affections vasculaires,300
Numeration de lymphocytes diminuee,Investigations,301
Neutrophiles diminues,Investigations,302
Progression du tumeur maligne,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",303
Numeration plaquettaire diminuee,Investigations,304
Infection,Infections et infestations,305
Gonflement peripherique,Troubles generaux et anomalies au site d'administration,306
Stomatite,Affections gastro-intestinales,307
Progression de tumeur,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",308
Sepsis urinaire,Infections et infestations,309
Gaªne abdominale,Affections gastro-intestinales,310
Fluctuation du glucose sanguin,Investigations,311
Lesion du dos,"Lesions, intoxications et complications d'interventions",312
Masse,Troubles generaux et anomalies au site d'administration,313
Metastases vertebrales,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",314
Fracture de vertebre lombaire,"Lesions, intoxications et complications d'interventions",315
Diminution de la mobilite,Affections musculosquelettiques et du tissu conjonctif,316
Deshydratation,Troubles du metabolisme et de la nutrition,317
Syncope,Affections du systeme nerveux,318
Fracture dentaire,"Lesions, intoxications et complications d'interventions",319
Rhinopharyngite,Infections et infestations,320
Incoherence,Affections du systeme nerveux,321
Glaucome,Affections oculaires,322
Vision trouble,Affections oculaires,323
Irritation oculaire,Affections oculaires,324
Glaucome a  angle ouvert,Affections oculaires,325
Affection aggravee,Troubles generaux et anomalies au site d'administration,326
Pression intraoculaire augmentee,Investigations,327
Uveite,Affections oculaires,328
Arthrite bacterienne,Infections et infestations,329
Alanine aminotransferase augmentee,Investigations,330
Phosphatase alcaline sanguine augmentee,Investigations,331
Bilirubine sanguine augmentee,Investigations,332
Steatose hepatique,Affections hepatobiliaires,333
Pression arterielle anormale,Investigations,334
Agueusie,Affections du systeme nerveux,335
Potassium sanguin augmente,Investigations,336
Insuffisance renale,Affections du rein et des voies urinaires,337
Rash,Affections de la peau et du tissu sous-cutane,338
Thrombopenie,Affections hematologiques et du systeme lymphatique,339
Saignement gingival,Affections gastro-intestinales,340
Petechies,Affections de la peau et du tissu sous-cutane,341
Chromaturie,Affections du rein et des voies urinaires,342
Hypersomnie,Affections du systeme nerveux,343
Hemorragie sous-arachnoide,Affections du systeme nerveux,344
Kyste bronchogene,"Affections congenitales, familiales et genetiques",345
Douleur abdominale,Affections gastro-intestinales,346
Tumefaction articulaire,Affections musculosquelettiques et du tissu conjonctif,347
Infection de l'oeil,Infections et infestations,348
Hematurie,Affections du rein et des voies urinaires,349
Presence de sang dans l'urine,Investigations,350
Proteines urinaires presentes,Investigations,351
Bacteriemie,Infections et infestations,352
Suicide,Affections psychiatriques,353
Cirrhose hepatique,Affections hepatobiliaires,354
Acouphene,Affections de l'oreille et du labyrinthe,355
Sensation de chaud,Troubles generaux et anomalies au site d'administration,356
Crises convulsives focales dyscognitives,Affections du systeme nerveux,357
Perturbation de l'attention,Affections du systeme nerveux,358
avenement indesirable,Troubles generaux et anomalies au site d'administration,359
Surdosage,"Lesions, intoxications et complications d'interventions",360
Atteinte de la memoire,Affections du systeme nerveux,361
Reaction de photosensibilite,Affections de la peau et du tissu sous-cutane,362
Desordre du goa»t,Affections du systeme nerveux,363
Allergies multiples,Affections du systeme immunitaire,364
arytheme,Affections de la peau et du tissu sous-cutane,365
Incapacite ambulatoire,Troubles generaux et anomalies au site d'administration,366
Urticaire,Affections de la peau et du tissu sous-cutane,367
Plaque cutanee,Affections de la peau et du tissu sous-cutane,368
Allergie alimentaire,Affections du systeme immunitaire,369
Dermatite allergique,Affections de la peau et du tissu sous-cutane,370
Eczema,Affections de la peau et du tissu sous-cutane,371
Secheresse cutanee,Affections de la peau et du tissu sous-cutane,372
araflure,"Lesions, intoxications et complications d'interventions",373
Hemorragie cutanee,Affections de la peau et du tissu sous-cutane,374
Toux productive,"Affections respiratoires, thoraciques et mediastinales",375
Alteration de la couleur de l'expectoration,"Affections respiratoires, thoraciques et mediastinales",376
Allergie saisonniere,Affections du systeme immunitaire,377
Rash maculeux,Affections de la peau et du tissu sous-cutane,378
Zona,Infections et infestations,379
Trouble du foie,Affections hepatobiliaires,380
Fracture pathologique,Affections musculosquelettiques et du tissu conjonctif,381
Sclerose en plaques secondairement progressive,Affections du systeme nerveux,382
Syndrome de lâiris hypotonique,"Lesions, intoxications et complications d'interventions",383
Oedeme de la cornee,Affections oculaires,384
Complication de plaie,"Lesions, intoxications et complications d'interventions",385
Infection de l'appareil respiratoire,Infections et infestations,386
Atelectasie,"Affections respiratoires, thoraciques et mediastinales",387
Dyspnee d'effort,"Affections respiratoires, thoraciques et mediastinales",388
Douleur oropharyngee,"Affections respiratoires, thoraciques et mediastinales",389
Temperature diminuee,Investigations,390
Arthrite,Affections musculosquelettiques et du tissu conjonctif,391
Infection a  Candida,Infections et infestations,392
Bulle,Affections de la peau et du tissu sous-cutane,393
Sibilances,"Affections respiratoires, thoraciques et mediastinales",394
Insomnie de milieu de nuit,Affections psychiatriques,395
Bronchite,Infections et infestations,396
Bruits respiratoires anormaux,Investigations,397
Accident,"Lesions, intoxications et complications d'interventions",398
Rupture d'un tendon,"Lesions, intoxications et complications d'interventions",399
Pression arterielle systolique augmentee,Investigations,400
Irritation de la gorge,"Affections respiratoires, thoraciques et mediastinales",401
Gaªne thoracique,Troubles generaux et anomalies au site d'administration,402
Secheresse oculaire,Affections oculaires,403
Congestion de l'appareil respiratoire,"Affections respiratoires, thoraciques et mediastinales",404
Tension nerveuse,Affections psychiatriques,405
Reaction cutanee,Affections de la peau et du tissu sous-cutane,406
Secretion des voies respiratoires superieures augmentee,"Affections respiratoires, thoraciques et mediastinales",407
Schema d'administration du produit inapproprie,"Lesions, intoxications et complications d'interventions",408
Prurit de l'oeil,Affections oculaires,409
Rash prurigineux,Affections de la peau et du tissu sous-cutane,410
Rash pustuleux,Infections et infestations,411
Hypoventilation,"Affections respiratoires, thoraciques et mediastinales",412
Retraction musculaire,Affections musculosquelettiques et du tissu conjonctif,413
Congestion nasale,"Affections respiratoires, thoraciques et mediastinales",414
Douleur musculosquelettique du thorax,Affections musculosquelettiques et du tissu conjonctif,415
Globules rouges diminues,Investigations,416
Gaªne dans un membre,Affections musculosquelettiques et du tissu conjonctif,417
Cataracte,Affections oculaires,418
Condition physique generale anormale,Investigations,419
Trouble des voies urinaires,Affections du rein et des voies urinaires,420
Trouble respiratoire,"Affections respiratoires, thoraciques et mediastinales",421
Trouble de la muqueuse nasale,"Affections respiratoires, thoraciques et mediastinales",422
Arthrose,Affections musculosquelettiques et du tissu conjonctif,423
Reponse therapeutique inattendue,Troubles generaux et anomalies au site d'administration,424
Inertie du sommeil,Affections psychiatriques,425
Production excessive de cerumen,Affections de l'oreille et du labyrinthe,426
Exfoliation cutanee,Affections de la peau et du tissu sous-cutane,427
Lesion dentaire,"Lesions, intoxications et complications d'interventions",428
Arythmie,Affections cardiaques,429
Reaction liee a  la perfusion,"Lesions, intoxications et complications d'interventions",430
Palpitations,Affections cardiaques,431
Angioedeme,Affections de la peau et du tissu sous-cutane,432
Arraªt cardiorespiratoire,Affections cardiaques,433
Choc anaphylactique,Affections du systeme immunitaire,434
Hepatite toxique,Affections hepatobiliaires,435
Aspartate aminotransferase augmentee,Investigations,436
Hyperbilirubinemie,Affections hepatobiliaires,437
Cancer de la taªte et du cou,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",438
Dysphonie,"Affections respiratoires, thoraciques et mediastinales",439
Fracture de membre inferieur,"Lesions, intoxications et complications d'interventions",440
Embolie pulmonaire postintervention,"Lesions, intoxications et complications d'interventions",441
Lesion due a  la pratique d'un sport,"Lesions, intoxications et complications d'interventions",442
Prurit allergique,Affections de la peau et du tissu sous-cutane,443
Embolie pulmonaire,"Affections respiratoires, thoraciques et mediastinales",444
Bradycardie sinusale,Affections cardiaques,445
Debit cardiaque diminue,Investigations,446
Cardioversion,Actes medicaux et chirurgicaux,447
Pupille dilatee en permanence,Affections oculaires,448
Activite electrique sans pouls,Affections cardiaques,449
Oedeme cerebral,Affections du systeme nerveux,450
Fibrillation ventriculaire,Affections cardiaques,451
Mydriase,Affections oculaires,452
Ne repond pas aux stimuli,Affections du systeme nerveux,453
Arraªt respiratoire,"Affections respiratoires, thoraciques et mediastinales",454
Cholesterolose de la vesicule biliaire,Affections hepatobiliaires,455
Reanimation,Actes medicaux et chirurgicaux,456
Histoplasmose disseminee,Infections et infestations,457
Fontanelle deprimee,Affections du systeme nerveux,458
Nutrition du nourrisson insuffisante,Troubles du metabolisme et de la nutrition,459
Somnolence du nouveau-ne,Affections du systeme nerveux,460
Sedation,Affections du systeme nerveux,461
Hypotonie,Affections du systeme nerveux,462
Delire,Affections psychiatriques,463
Desorientation,Affections psychiatriques,464
Ulcere aphteux,Affections gastro-intestinales,465
Douleur osseuse,Affections musculosquelettiques et du tissu conjonctif,466
Raideur musculosquelettique,Affections musculosquelettiques et du tissu conjonctif,467
Obstruction de la vesicule biliaire,Affections hepatobiliaires,468
Melena,Affections gastro-intestinales,469
Hemorragie gastro-intestinale,Affections gastro-intestinales,470
Endoscopie de la partie haute du tube digestif,Investigations,471
Flatulence,Affections gastro-intestinales,472
Sensation vertigineuse posturale,Affections du systeme nerveux,473
Abdomen sensible,Affections gastro-intestinales,474
Hemorragie intestinale diverticulaire,Affections gastro-intestinales,475
Coloscopie,Investigations,476
Hemorragie,Affections vasculaires,477
Thrombose,Affections vasculaires,478
Probleme de disponibilite du produit,Problemes de produit,479
Douleur du flanc,Affections musculosquelettiques et du tissu conjonctif,480
Sinusite,Infections et infestations,481
Gastroenterite virale,Infections et infestations,482
Insuffisance respiratoire,"Affections respiratoires, thoraciques et mediastinales",483
Arthroplastie du genou,Actes medicaux et chirurgicaux,484
Operation intestinale,Actes medicaux et chirurgicaux,485
Perforation du gros intestin,Affections gastro-intestinales,486
Operation du genou,Actes medicaux et chirurgicaux,487
Hypertension intracra¢nienne idiopathique,Affections du systeme nerveux,488
Paralysie du nerf moteur oculaire externe (VIeme),Affections du systeme nerveux,489
Atrophie optique,Affections oculaires,490
Maladie cutanee du greffon contre lâha´te,Affections du systeme immunitaire,491
Oedeme papillaire,Affections oculaires,492
Pression du LCR augmentee,Investigations,493
Retention liquidienne,Troubles du metabolisme et de la nutrition,494
Hypertension portale,Affections hepatobiliaires,495
Sepsis,Infections et infestations,496
Bacteriemie a  streptocoque,Infections et infestations,497
Lethargie,Affections du systeme nerveux,498
Myelosuppression,Affections hematologiques et du systeme lymphatique,499
Deterioration generale de l'etat de sante,Troubles generaux et anomalies au site d'administration,500
Hepatite virale C,Infections et infestations,501
Hypersplenisme,Affections hematologiques et du systeme lymphatique,502
Ascite,Affections gastro-intestinales,503
Gastroenterite,Infections et infestations,504
Cancer du ca´lon recidivant,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",505
Carcinome gastro-intestinal,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",506
Hemorragie vaginale,Affections des organes de reproduction et du sein,507
Oedeme pulmonaire,"Affections respiratoires, thoraciques et mediastinales",508
Tumeur maligne du cerveau,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",509
Thrombophlebite,Affections vasculaires,510
Bouffee de chaleur,Affections vasculaires,511
Force de prehension diminuee,Investigations,512
Lesion de nerf,"Lesions, intoxications et complications d'interventions",513
Aphasie,Affections du systeme nerveux,514
Amnesie,Affections du systeme nerveux,515
Operation du gros intestin,Actes medicaux et chirurgicaux,516
Craniotomie,Actes medicaux et chirurgicaux,517
Apraxie,Affections du systeme nerveux,518
Paralysie faciale,Affections du systeme nerveux,519
Ataxie,Affections du systeme nerveux,520
Medulloblastome recidivant,"Tumeurs benignes, malignes et non precisees (incl kystes et polypes)",521
